Month,Passenger,Description of Goods,Number of items
6/2012,17,Cellphones,1
6/2012,18,Discs - DVDs,50
6/2012,19,Portable storage devices,2
6/2012,20,Hard drives - external,1
6/2012,21,Discs - DVDs,200
6/2012,22,Cellphones,30
6/2012,23,Cellphones,1
6/2012,24,Cameras,1
6/2012,25,Discs - DVDs,1
6/2012,26,Discs - DVDs,2
7/2012,27,Cellphones,1
7/2012,28,Cellphones,1
7/2012,29,Cellphones,21
7/2012,30,Computers - tablets,1
7/2012,31,Tablet accessories,6
7/2012,32,Tablet accessories,28
7/2012,33,Cellphones,4
7/2012,33,Laptops,1
7/2012,33,SIM cards,1
7/2012,34,Cellphones,2
7/2012,34,Computers,1
7/2012,34,Laptops,1
7/2012,34,SIM cards,3
7/2012,35,Cellphones,1
7/2012,35,Computers - tablets,1
7/2012,36,Police scanners,1
7/2012,37,Cellphones,7
7/2012,37,Computers - tablets,1
7/2012,37,Laptops,1
7/2012,37,Remote access devices,1
7/2012,37,SIM cards,2
7/2012,37,Swipe cards,1
7/2012,38,Mouse USB drive,1
7/2012,39,Cellphones,2
7/2012,39,Computers,1
7/2012,39,Computers - tablets,1
7/2012,39,Hard drives - external,1
7/2012,39,Laptops,1
7/2012,39,Portable storage devices,2
7/2012,39,SIM cards,1
7/2012,40,Discs - DVDs,5
7/2012,40,Video tapes,20
7/2012,41,Discs - DVDs,3
7/2012,42,Discs - DVDs,18
7/2012,42,Discs - DVDs,54
7/2012,43,Cellphones,1
7/2012,44,Cellphones,1
7/2012,44,Discs - CDs,8
7/2012,44,Discs - DVDs,2
7/2012,44,Portable storage devices,1
7/2012,45,Cellphones,1
7/2012,46,Discs - DVDs,5
7/2012,47,Cellphones,2
7/2012,47,Discs - CDs,1
7/2012,47,Discs - DVDs,1
7/2012,47,eReaders,1
7/2012,47,Laptops,1
7/2012,47,Portable storage devices,1
7/2012,47,Software,1
7/2012,47,USB receiver/charger,1
7/2012,48,Cellphones,1
7/2012,49,Cameras,1
7/2012,49,Cameras - video,1
7/2012,49,Cellphones,3
7/2012,49,Laptops,1
7/2012,49,Portable storage devices,1
7/2012,50,Cameras,1
7/2012,50,Cellphones,4
7/2012,50,Hard drives - external,3
7/2012,50,Laptops,1
7/2012,50,Portable storage devices,2
7/2012,51,Cellphones,1
7/2012,52,Laptops,1
7/2012,52,Portable storage devices,1
7/2012,53,Laptops,1
7/2012,54,Scanners,4
7/2012,55,Cameras,1
7/2012,55,Portable storage devices,3
7/2012,56,Multi-media players,1
7/2012,57,Laptops,1
7/2012,57,Portable storage devices,1
7/2012,58,Laptops,1
7/2012,59,Hard drives - external,1
8/2012,60,Cellphones,10
8/2012,61,Cellphones,1
8/2012,61,Laptops,1
8/2012,62,Computers,1
8/2012,63,Laptops,1
8/2012,64,Discs - DVDs,8
8/2012,65,Discs - DVDs,2
8/2012,66,Portable storage devices,1
8/2012,67,Cameras,1
8/2012,67,Cameras - video,1
8/2012,67,Hard drives - external,1
8/2012,67,Laptops,1
8/2012,67,Portable storage devices,10
8/2012,68,Computers - tablets,1
8/2012,68,Laptops,1
8/2012,68,Portable storage devices,1
8/2012,69,Cameras,1
8/2012,69,Cellphones,4
8/2012,69,Computers - tablets,1
8/2012,69,Discs - DVDs,14
8/2012,69,Laptops,1
8/2012,69,Portable storage devices,1
8/2012,70,Cellphones,1
8/2012,70,Laptops,1
8/2012,70,Portable storage devices,2
8/2012,71,Cameras,1
8/2012,71,Cellphones,1
8/2012,71,Computers - tablets,1
8/2012,72,Hard drives,3
8/2012,73,Cameras,1
8/2012,74,Cellphones,2
8/2012,75,Cellphones,2
8/2012,75,Laptops,1
8/2012,76,Hard drives - external,1
8/2012,77,Laptops,1
8/2012,78,Hard drives - external,1
8/2012,78,Laptops,1
8/2012,79,Discs - DVDs,19
8/2012,80,Parts,1
8/2012,80,Radiometer,3
9/2012,81,MP3 players,7
9/2012,82,Cellphones,35
9/2012,83,Cellphones,9
9/2012,84,Card readers,1
9/2012,85,Cellphones,2
9/2012,86,Computers - tablets,1
9/2012,87,Cellphones,4
9/2012,88,Computers,1
9/2012,88,SIM cards,1
9/2012,89,Cellphones,1
9/2012,89,Laptops,1
9/2012,90,Cellphones,7
9/2012,90,Computers,1
9/2012,90,GPS,1
9/2012,90,Scales,1
9/2012,90,SIM cards,1
9/2012,91,Cellphones,1
9/2012,92,Computers - tablets,1
9/2012,93,Cellphones,1
9/2012,93,Laptops,1
9/2012,94,Discs - DVDs,1
9/2012,95,Discs - DVDs,1
9/2012,96,Discs - DVDs,1
9/2012,96,Hard drives - external,1
9/2012,97,Discs - optical,15
9/2012,98,Portable storage devices,1
9/2012,99,Cameras,6
9/2012,99,Cellphones,1
9/2012,99,Laptops,1
9/2012,99,Portable storage devices,8
9/2012,99,Skimming equipment,43
9/2012,100,Cellphones,1
9/2012,100,Discs - DVDs,1
9/2012,101,Cameras,2
9/2012,101,Cellphones,1
9/2012,101,Computers - tablets,1
9/2012,101,Portable storage devices,3
9/2012,102,Discs - optical,1
9/2012,102,DVD recorders,1
9/2012,102,Laptops,1
9/2012,102,Portable storage devices,2
9/2012,102,Remote controls,1
9/2012,103,Cellphones,2
9/2012,104,Cameras,1
9/2012,104,Cellphones,2
9/2012,104,Portable storage devices,1
9/2012,105,Audio cassettes,3
9/2012,106,Discs - DVDs,1
9/2012,107,Frequency/signal jammers,1
9/2012,108,Discs - optical,3
9/2012,109,Discs - blu-ray,21
9/2012,110,Discs - optical,3
9/2012,111,Cellphones,1
9/2012,111,Laptops,1
9/2012,112,Hard drives - external,1
9/2012,112,Laptops,1
9/2012,113,Antenna - LAN cards,25
9/2012,113,Antenna - USB WiFi,10
9/2012,113,Antenna - WiFi,25
9/2012,114,GPS,1
10/2012,115,Cellphones,11
10/2012,116,Cellphones,8
10/2012,117,Cellphones,53
10/2012,118,Cellphones,3
10/2012,119,Cellphones,1
10/2012,119,Computers - mini towers,1
10/2012,120,Cellphones,2
10/2012,120,Laptops,1
10/2012,120,Net com device,1
10/2012,120,Portable storage devices,1
10/2012,120,SIM cards,4
10/2012,121,DVD players,1
10/2012,121,GPS,1
10/2012,122,Cameras,1
10/2012,122,Cameras - video,1
10/2012,122,Card readers,1
